event_date,dau
2015-01-10,31
2015-01-11,35
2015-01-12,64
2015-01-13,65
2015-01-14,73
2015-01-15,44
2015-01-16,42
2015-01-17,45
2015-01-18,38
2015-01-19,54
2015-01-20,56
2015-01-21,46
2015-01-22,38
2015-01-23,44
2015-01-24,34
2015-01-25,43
2015-01-26,58
2015-01-27,48
2015-01-28,45
2015-01-29,64
2015-01-30,61
2015-01-31,32
2015-02-01,53
2015-02-02,58
2015-02-03,54
2015-02-04,45
2015-02-05,45
2015-02-06,34
2015-02-07,31
2015-02-08,44
2015-02-09,47
2015-02-10,42
2015-02-11,51
2015-02-12,48
2015-02-13,37
2015-02-14,22
2015-02-15,33
2015-02-16,43
2015-02-17,72
2015-02-18,62
2015-02-19,49
2015-02-20,63
2015-02-21,64
2015-02-22,61
2015-02-23,62
2015-02-24,59
2015-02-25,49
2015-02-26,45
2015-02-27,39
2015-02-28,16
2015-03-01,36
2015-03-02,52
2015-03-03,52
2015-03-04,56
2015-03-05,73
2015-03-06,60
2015-03-07,31
2015-03-08,44
2015-03-09,80
2015-03-10,66
2015-03-11,60
2015-03-12,47
2015-03-13,47
2015-03-14,40
2015-03-15,46
2015-03-16,85
2015-03-17,60
2015-03-18,68
2015-03-19,52
2015-03-20,59
2015-03-21,47
2015-03-22,45
2015-03-23,65
2015-03-24,60
2015-03-25,60
2015-03-26,62
2015-03-27,53
2015-03-28,41
2015-03-29,30
2015-03-30,45
2015-03-31,40
2015-04-01,66
2015-04-02,62
2015-04-03,42
2015-04-04,33
2015-04-05,30
2015-04-06,51
2015-04-07,44
2015-04-08,53
2015-04-09,50
2015-04-10,61
2015-04-11,42
2015-04-12,39
2015-04-13,59
2015-04-14,50
2015-04-15,72
2015-04-16,53
2015-04-17,43
2015-04-18,37
2015-04-19,38
2015-04-20,53
2015-04-21,74
2015-04-22,65
2015-04-23,63
2015-04-24,58
2015-04-25,58
2015-04-26,40
2015-04-27,77
2015-04-28,66
2015-04-29,67
2015-04-30,57
2015-05-01,51
2015-05-02,38
2015-05-03,34
2015-05-04,52
2015-05-05,52
2015-05-06,107
2015-05-07,57
2015-05-08,59
2015-05-09,30
2015-05-10,41
2015-05-11,62
2015-05-12,88
2015-05-13,79
2015-05-14,68
2015-05-15,66
2015-05-16,52
2015-05-17,67
2015-05-18,115
2015-05-19,102
2015-05-20,87
2015-05-21,70
2015-05-22,74
2015-05-23,57
2015-05-24,57
2015-05-25,70
2015-05-26,66
2015-05-27,65
2015-05-28,82
